term,term_translation,lang_code
https://publications.europa.eu/resource/authority/language/CES,checo,es
https://publications.europa.eu/resource/authority/language/CES,чеська мова,uk
https://publications.europa.eu/resource/authority/language/CES,češčina,sl
https://publications.europa.eu/resource/authority/language/CES,čeština,cs
https://publications.europa.eu/resource/authority/language/CES,Czech,en
https://publications.europa.eu/resource/authority/language/CES,tjeckiska,sv
http://lexvo.org/id/iso639-3/ces,Czech,en
http://purl.obolibrary.org/obo/NCIT_C173558,Contact Tracing,en
http://purl.obolibrary.org/obo/NCIT_C16669,Health Status,en
https://www.wikidata.org/wiki/Q182672,zoonosis,en
https://publications.europa.eu/resource/authority/language/DEU,saksa,fi
https://publications.europa.eu/resource/authority/language/DEU,немецкий,ru
https://publications.europa.eu/resource/authority/language/DEU,Duits,nl
https://publications.europa.eu/resource/authority/language/DEU,nemščina,sl
https://publications.europa.eu/resource/authority/language/DEU,tysk,no
https://publications.europa.eu/resource/authority/language/DEU,német,hu
https://publications.europa.eu/resource/authority/language/DEU,немачки,sr
https://publications.europa.eu/resource/authority/language/DEU,alemán,es
https://publications.europa.eu/resource/authority/language/DEU,němčina,cs
https://publications.europa.eu/resource/authority/language/DEU,tysk,da
https://publications.europa.eu/resource/authority/language/DEU,saksa keel,et
https://publications.europa.eu/resource/authority/language/DEU,Gearmáinis,ga
https://publications.europa.eu/resource/authority/language/DEU,němska,hsb
https://publications.europa.eu/resource/authority/language/DEU,tedesco,it
https://publications.europa.eu/resource/authority/language/DEU,njemački,hr
https://publications.europa.eu/resource/authority/language/DEU,γερμανικά,el
https://publications.europa.eu/resource/authority/language/DEU,nemački,sh
https://publications.europa.eu/resource/authority/language/DEU,німецька мова,uk
https://publications.europa.eu/resource/authority/language/DEU,alemão,pt
https://publications.europa.eu/resource/authority/language/DEU,almanca,tr
https://publications.europa.eu/resource/authority/language/DEU,niemiecki,pl
https://publications.europa.eu/resource/authority/language/DEU,German,en
https://publications.europa.eu/resource/authority/language/DEU,þýska,is
https://publications.europa.eu/resource/authority/language/DEU,Ġermaniż,mt
https://publications.europa.eu/resource/authority/language/DEU,vokiečių kalba,lt
https://publications.europa.eu/resource/authority/language/DEU,tyska,sv
https://publications.europa.eu/resource/authority/language/DEU,nemčina,sk
https://publications.europa.eu/resource/authority/language/DEU,немски,bg
https://publications.europa.eu/resource/authority/language/DEU,allemand,fr
https://publications.europa.eu/resource/authority/language/DEU,vācu valoda,lv
https://publications.europa.eu/resource/authority/language/DEU,germană,ro
https://publications.europa.eu/resource/authority/language/DEU,германски,mk
https://publications.europa.eu/resource/authority/language/DEU,Deutsch,de
http://lexvo.org/id/iso639-3/deu,German,en
http://vivoweb.org/ontology/core#Hospital,Hospital,en
http://purl.obolibrary.org/obo/GSSO_007925,pharmaceutical drug,en
https://www.wikidata.org/wiki/Q18123741,infectious disease,en
https://www.wikidata.org/wiki/Q12140,medication,en
http://purl.obolibrary.org/obo/OMIT_0009102,Life Expectancy,en
https://www.wikidata.org/wiki/Q381481,airborne disease,en
http://purl.obolibrary.org/obo/OMIT_0017465,Health Care Costs,en
http://purl.obolibrary.org/obo/OMIT_0009217,Long-Term Care,en
https://www.wikidata.org/wiki/Q30314010,social distancing,en
https://publications.europa.eu/resource/authority/language/LIT,litván,hu
https://publications.europa.eu/resource/authority/language/LIT,litewski,pl
https://publications.europa.eu/resource/authority/language/LIT,lituano,it
https://publications.europa.eu/resource/authority/language/LIT,litauisk,da
https://publications.europa.eu/resource/authority/language/LIT,lietuvių kalba,lt
https://publications.europa.eu/resource/authority/language/LIT,liettua,fi
https://publications.europa.eu/resource/authority/language/LIT,litauisk,no
https://publications.europa.eu/resource/authority/language/LIT,λιθουανικά,el
https://publications.europa.eu/resource/authority/language/LIT,литовски,bg
https://publications.europa.eu/resource/authority/language/LIT,litawšćina,hsb
https://publications.europa.eu/resource/authority/language/LIT,Litouws,nl
https://publications.europa.eu/resource/authority/language/LIT,lietuviešu valoda,lv
https://publications.europa.eu/resource/authority/language/LIT,leedu keel,et
https://publications.europa.eu/resource/authority/language/LIT,lituanien,fr
https://publications.europa.eu/resource/authority/language/LIT,lituaniană,ro
https://publications.europa.eu/resource/authority/language/LIT,litavski,hr
https://publications.europa.eu/resource/authority/language/LIT,Litauisch,de
https://publications.europa.eu/resource/authority/language/LIT,litovčina,sk
https://publications.europa.eu/resource/authority/language/LIT,litvanca,tr
https://publications.europa.eu/resource/authority/language/LIT,litauiska,sv
https://publications.europa.eu/resource/authority/language/LIT,lituano,es
https://publications.europa.eu/resource/authority/language/LIT,litháíska,is
https://publications.europa.eu/resource/authority/language/LIT,lituano,pt
https://publications.europa.eu/resource/authority/language/LIT,литвански,mk
https://publications.europa.eu/resource/authority/language/LIT,литовский,ru
https://publications.europa.eu/resource/authority/language/LIT,литвански,sr
https://publications.europa.eu/resource/authority/language/LIT,Lithuanian,en
https://publications.europa.eu/resource/authority/language/LIT,litovščina,sl
https://publications.europa.eu/resource/authority/language/LIT,Litwan,mt
https://publications.europa.eu/resource/authority/language/LIT,литовська мова,uk
https://publications.europa.eu/resource/authority/language/LIT,Liotuáinis,ga
https://publications.europa.eu/resource/authority/language/LIT,litevština,cs
https://publications.europa.eu/resource/authority/language/LIT,litvanski,sh
http://lexvo.org/id/iso639-3/lit,Lithuanian,en
https://www.wikidata.org/wiki/Q12206,diabetes,en
https://www.wikidata.org/wiki/Q12078,cancer,en
https://www.wikidata.org/wiki/Q2006636,waterborne disease,en
http://purl.obolibrary.org/obo/NCIT_C16495,Demographics,en
https://www.wikidata.org/wiki/Q58028485,policy compliance,en
http://purl.obolibrary.org/obo/EUPATH_0000359,occupation,en
https://www.wikidata.org/wiki/Q70362525,Hospital Bed Capacity,en
http://purl.obolibrary.org/obo/OMIT_0005898,Employment,en
http://purl.obolibrary.org/obo/OMIT_0004111,"Cholesterol, Dietary",en
https://www.wikidata.org/wiki/Q1339474,maternal death,en
https://www.wikidata.org/wiki/Q15636229,surgical procedure,en
https://www.wikidata.org/wiki/Q95449639,Vaccine-Preventable Diseases,en
http://purl.obolibrary.org/obo/GSSO_008527,leisure activity,en
https://www.wikidata.org/wiki/Q17054975,Health Workforce,en
https://www.wikidata.org/wiki/Q8434,education,en
https://publications.europa.eu/resource/authority/language/ROM,romani,hu
https://publications.europa.eu/resource/authority/language/ROM,romski,sh
https://publications.europa.eu/resource/authority/language/ROM,romani,fi
https://publications.europa.eu/resource/authority/language/ROM,rómčina,sk
https://publications.europa.eu/resource/authority/language/ROM,romština,cs
https://publications.europa.eu/resource/authority/language/ROM,romski,pl
https://publications.europa.eu/resource/authority/language/ROM,Zingaru,mt
https://publications.europa.eu/resource/authority/language/ROM,цыга́нский,ru
https://publications.europa.eu/resource/authority/language/ROM,ромски,mk
https://publications.europa.eu/resource/authority/language/ROM,romų kalba,lt
https://publications.europa.eu/resource/authority/language/ROM,romani,is
https://publications.europa.eu/resource/authority/language/ROM,romaní,es
https://publications.europa.eu/resource/authority/language/ROM,romski,hr
https://publications.europa.eu/resource/authority/language/ROM,ромски,bg
https://publications.europa.eu/resource/authority/language/ROM,romani,tr
https://publications.europa.eu/resource/authority/language/ROM,romščina,sl
https://publications.europa.eu/resource/authority/language/ROM,Romani,de
https://publications.europa.eu/resource/authority/language/ROM,roma keel,et
https://publications.europa.eu/resource/authority/language/ROM,Romani,nl
https://publications.europa.eu/resource/authority/language/ROM,romani,da
https://publications.europa.eu/resource/authority/language/ROM,romani,pt
https://publications.europa.eu/resource/authority/language/ROM,romani,sv
https://publications.europa.eu/resource/authority/language/ROM,циганська мова,uk
https://publications.europa.eu/resource/authority/language/ROM,romani,fr
https://publications.europa.eu/resource/authority/language/ROM,čigānu valoda,lv
https://publications.europa.eu/resource/authority/language/ROM,romaní,it
https://publications.europa.eu/resource/authority/language/ROM,Romani,ga
https://publications.europa.eu/resource/authority/language/ROM,romani,no
https://publications.europa.eu/resource/authority/language/ROM,ромски,sr
https://publications.europa.eu/resource/authority/language/ROM,Romani,en
https://publications.europa.eu/resource/authority/language/ROM,romani,ro
https://publications.europa.eu/resource/authority/language/ROM,ρομανικά,el
http://lexvo.org/id/iso639-3/rom,Romani,en
https://www.wikidata.org/wiki/Q93815163,Cancer Survival Rates,en
http://purl.obolibrary.org/obo/OMIT_0015761,Work,en
https://publications.europa.eu/resource/authority/language/ENG,engleză,ro
https://publications.europa.eu/resource/authority/language/ENG,angielski,pl
https://publications.europa.eu/resource/authority/language/ENG,Englisch,de
https://publications.europa.eu/resource/authority/language/ENG,inglés,es
https://publications.europa.eu/resource/authority/language/ENG,angličtina,sk
https://publications.europa.eu/resource/authority/language/ENG,английский,ru
https://publications.europa.eu/resource/authority/language/ENG,Engels,nl
https://publications.europa.eu/resource/authority/language/ENG,engleski,hr
https://publications.europa.eu/resource/authority/language/ENG,inglise keel,et
https://publications.europa.eu/resource/authority/language/ENG,angļu valoda,lv
https://publications.europa.eu/resource/authority/language/ENG,engelsk,no
https://publications.europa.eu/resource/authority/language/ENG,jendźelšćina,hsb
https://publications.europa.eu/resource/authority/language/ENG,енглески,sr
https://publications.europa.eu/resource/authority/language/ENG,ıngilizce,tr
https://publications.europa.eu/resource/authority/language/ENG,anglais,fr
https://publications.europa.eu/resource/authority/language/ENG,inglese,it
https://publications.europa.eu/resource/authority/language/ENG,engleski,sh
https://publications.europa.eu/resource/authority/language/ENG,inglês,pt
https://publications.europa.eu/resource/authority/language/ENG,engelsk,da
https://publications.europa.eu/resource/authority/language/ENG,enska,is
https://publications.europa.eu/resource/authority/language/ENG,angol,hu
https://publications.europa.eu/resource/authority/language/ENG,Béarla,ga
https://publications.europa.eu/resource/authority/language/ENG,Ingliż,mt
https://publications.europa.eu/resource/authority/language/ENG,английски,bg
https://publications.europa.eu/resource/authority/language/ENG,anglų kalba,lt
https://publications.europa.eu/resource/authority/language/ENG,angličtina,cs
https://publications.europa.eu/resource/authority/language/ENG,αγγλικά,el
https://publications.europa.eu/resource/authority/language/ENG,engelska,sv
https://publications.europa.eu/resource/authority/language/ENG,англійська мова,uk
https://publications.europa.eu/resource/authority/language/ENG,angleščina,sl
https://publications.europa.eu/resource/authority/language/ENG,англиски,mk
